Meranie	Farba	Priemer	Std. odchylka
Pozdĺžna Ľavá
	Žíhaná	2.192066	0.182921
	Žíhaná	2.006267	0.236266
	Čierna, Biela	2.315301	0.284177
	Hnedá, Biela	2.065261	0.000000
	Čierna, Biela	1.948037	0.000000
	Trikolor	2.273689	0.112516
	Čierna, Biela	2.442689	0.535195
Priečna Ľavá
	Žíhaná	1.200193	0.122897
	Žíhaná	1.214296	0.211319
	Čierna, Biela	1.434688	0.126485
	Hnedá, Biela	1.171687	0.000000
	Čierna, Biela	1.151270	0.000000
	Trikolor	1.390215	0.128945
	Čierna, Biela	1.579962	0.528555
Kôra
	Žíhaná	0.221830	0.018374
	Žíhaná	0.216079	0.042946
	Čierna, Biela	0.245724	0.019416
	Hnedá, Biela	0.187751	0.000000
	Čierna, Biela	0.183603	0.000000
	Trikolor	0.192030	0.030038
	Čierna, Biela	0.263264	0.017660
Aorta
	Žíhaná	0.304709	0.021850
	Žíhaná	0.341601	0.047986
	Čierna, Biela	0.403422	0.105643
	Hnedá, Biela	0.285141	0.000000
	Čierna, Biela	0.339492	0.000000
	Trikolor	0.329339	0.036059
	Čierna, Biela	0.339549	0.065457
Stavec
	Žíhaná	1.000000	0.000000
	Žíhaná	1.000000	0.000000
	Čierna, Biela	1.000000	0.000000
	Hnedá, Biela	1.000000	0.000000
	Čierna, Biela	1.000000	0.000000
	Trikolor	1.000000	0.000000
	Čierna, Biela	1.000000	0.000000
Pozdĺžna Pravá
	Žíhaná	2.245282	0.344607
	Žíhaná	2.020653	0.330043
	Čierna, Biela	2.467698	0.359653
	Hnedá, Biela	2.067269	0.000000
	Čierna, Biela	1.944573	0.000000
	Trikolor	2.381326	0.192999
	Čierna, Biela	2.778378	1.002604
Priečna Pravá
	Žíhaná	1.564117	0.418573
	Žíhaná	1.274390	0.131295
	Čierna, Biela	1.445864	0.159619
	Hnedá, Biela	1.120482	0.000000
	Čierna, Biela	1.010393	0.000000
	Trikolor	1.302404	0.080701
	Čierna, Biela	1.582219	0.514161
